transition,t0,t1,mmd,moment_error,sliced_wasserstein,mi_mean,mi_median,model,seed,ablation,prediction_finite_fraction,prediction_out_of_bounds_fraction,numerically_stable,prediction_diagnostics_origin,prediction_min,prediction_max
0.25_to_0.5,0.25,0.5,0.0491228774189949,0.0151407727971673,0.0155787374824285,0.3465350568294525,0.3442060947418213,,20260826,no_constraints,1.0,0.0194715943799633,True,measured_from_predictions,-0.0171057935804128,1.0145494937896729
0.5_to_1,0.5,1.0,0.0293208491057157,0.0089121330529451,0.0106849018484354,0.4282445311546325,0.4225804209709167,,20260826,no_constraints,1.0,0.0301083396321491,True,measured_from_predictions,-0.0404863953590393,1.028133749961853
1_to_3,1.0,3.0,0.0414116308093071,0.0110626947134733,0.0133863650262355,0.3783363699913025,0.3636504709720611,,20260826,no_constraints,1.0,0.0164763365717856,True,measured_from_predictions,-0.1342326551675796,1.1632719039916992
3_to_7,3.0,7.0,0.0718950405716896,0.0201490633189678,0.0237674824893474,0.4668671488761902,0.4561997056007385,,20260826,no_constraints,1.0,0.0549267643142476,True,measured_from_predictions,-0.2581384181976318,1.3211344480514526
7_to_14,7.0,14.0,0.1805766075849533,0.0514905266463756,0.0547630861401557,0.5102821588516235,0.5055767297744751,,20260826,no_constraints,1.0,0.0654592578544787,True,measured_from_predictions,-0.4480744004249573,1.4610333442687988
14_to_28,14.0,28.0,0.0267264451831579,0.0033311534207314,0.0089600440114736,0.5205806493759155,0.518165647983551,,20260826,no_constraints,1.0,0.0958930155913297,True,measured_from_predictions,-0.7644829154014587,1.543323993682861
0_to_0.25,0.0,0.25,0.1190636903047561,0.0323281623423099,0.0409317538142204,0.3008836209774017,0.2941033244132995,,20260827,no_constraints,1.0,0.0125973729669828,True,measured_from_predictions,-0.0051895063370466,1.0551464557647705
0.25_to_0.5,0.25,0.5,0.0724118202924728,0.0229569599032402,0.0287472400814294,0.4943196773529053,0.4973708689212799,,20260827,no_constraints,1.0,0.0161017461180593,True,measured_from_predictions,-0.0068184668198227,1.0287407636642456
0.5_to_1,0.5,1.0,0.0228755995631217,0.0065458151511847,0.0062475483864545,0.5774216055870056,0.5851103067398071,,20260827,no_constraints,1.0,0.0046811000585137,True,measured_from_predictions,-0.0226155221462249,1.0591731071472168
1_to_3,1.0,3.0,0.1164615005254745,0.0381912030279636,0.0368274040520191,0.4344878792762756,0.4257359802722931,,20260827,no_constraints,1.0,0.01940230668712,True,measured_from_predictions,-0.0659015476703643,1.2169278860092163
3_to_7,3.0,7.0,0.0110376290977001,0.0013102409429848,0.0045367963612079,0.5308078527450562,0.5307812690734863,,20260827,no_constraints,1.0,0.0207055662636528,True,measured_from_predictions,-0.2364515662193298,1.257238268852234
7_to_14,7.0,14.0,0.0341202355921268,0.0071324869059026,0.0104681774973869,0.7205594778060913,0.7246806621551514,,20260827,no_constraints,1.0,0.2978978978978979,True,measured_from_predictions,-0.5278041362762451,1.185760259628296
14_to_28,14.0,28.0,0.054221112281084,0.0189388412982225,0.0280068758875131,0.5603086948394775,0.5611616969108582,,20260827,no_constraints,1.0,0.0985972028562978,True,measured_from_predictions,-1.397937297821045,1.539530634880066
0_to_0.25,0.0,0.25,0.0688661858439445,0.0175017341971397,0.0249931272119283,0.2653673589229584,0.2591336071491241,,20260828,no_constraints,1.0,0.240083439262084,True,measured_from_predictions,-0.019109196960926,1.038726806640625
0.25_to_0.5,0.25,0.5,0.0337601825594902,0.009483216330409,0.0094544971361756,0.4259559214115143,0.4232962727546692,,20260828,no_constraints,1.0,0.1116909039064727,True,measured_from_predictions,-0.0190813690423965,1.0056833028793335
0.5_to_1,0.5,1.0,0.0184401385486125,0.0048551373183727,0.0063728094100952,0.5000628232955933,0.4971624612808227,,20260828,no_constraints,1.0,0.0613470613470613,True,measured_from_predictions,-0.0383968465030193,1.0238561630249023
1_to_3,1.0,3.0,0.0384629070758819,0.0102247083559632,0.0120040159672498,0.4868703782558441,0.4707383513450622,,20260828,no_constraints,1.0,0.0534433285509325,True,measured_from_predictions,-0.1508292257785797,1.1349960565567017
3_to_7,3.0,7.0,0.155277207493782,0.0535525791347026,0.056178905069828,0.5822076201438904,0.5745875239372253,,20260828,no_constraints,1.0,0.1666374627650254,True,measured_from_predictions,-0.3020744323730469,1.250263214111328
7_to_14,7.0,14.0,0.1527523100376129,0.0451311729848384,0.0470139309763908,0.4809785187244415,0.4721289873123169,,20260828,no_constraints,1.0,0.0589240469035413,True,measured_from_predictions,-0.507534921169281,1.589507222175598
