parameter_1,parameter_2,pearson_correlation
residual_scale_I,mechanistic_gate_V,-0.34941895993831384
residual_scale_M,mechanistic_gate_V,-0.5307612565124817
residual_scale_V,mechanistic_gate_V,-0.8300661301462751
alpha_A,residual_scale_A,0.008429425982749985
alpha_C,residual_scale_A,-0.033825468206300335
alpha_F,residual_scale_A,-0.36739104439020226
alpha_I,residual_scale_A,-0.1268870997699856
alpha_M,residual_scale_A,-0.06480801554349712
alpha_V,residual_scale_A,-0.30245939135126143
beta_A,residual_scale_A,-0.219605690154681
beta_C,residual_scale_A,0.02007772054455725
beta_F,residual_scale_A,-0.35260726435568757
beta_I,residual_scale_A,0.3983145914407883
beta_M,residual_scale_A,0.1788387989179089
beta_V,residual_scale_A,0.41359160660449446
gamma_C,residual_scale_A,-0.15582750760825115
gamma_M,residual_scale_A,-0.012219749425730677
gamma_V,residual_scale_A,-0.21658493636137793
mechanistic_gate_A,residual_scale_A,-0.4275999387833316
mechanistic_gate_C,residual_scale_A,0.012839462534375748
mechanistic_gate_F,residual_scale_A,-0.4284872343487641
